monica and rachels|phoebe|hey new wallet, huh
monica and rachels|chandler|yeah, it was time. the old condom ring in the leather just doesnt say cool anymore.
monica and rachels|monica|rachel
monica and rachels|rachel|what
monica and rachels|monica|you just put an empty carton back in the fridge
monica and rachels|rachel|oh yeah, i know, but the garbage was full.
monica and rachels|monica|have you ever taken out the trash hands her the garbage.
monica and rachels|rachel|well, i thought you liked doing it. rachel starts out the door and stops.
monica and rachels|monica|third door on the left.
garbage room: mr|rachel|right
garbage room: mr|rachel|oh hey, mr. treeger.
garbage room: mr|mr. treeger:|hey. rachel opens the trash chute, winces at the smell, and throws the garbage bag in. she then tries to throw the pizza box in, but since its so big she jams it into the opening and it prevents the door from closing. she then turns around too see mr. treeger watching her.
garbage room: mr|mr. treeger:|what are you doing
garbage room: mr|rachel|ummm. oh im sorry. she grabs the box and offers him a piece. its a little old but
garbage room: mr|mr. treeger:|no youre clogging up the chute that i spent a halfhour unclogging
garbage room: mr|rachel|im sorry. i didnti dont come in here a lot.
garbage room: mr|mr. treeger:|oh yeah, of course you dont
garbage room: mr|rachel|no.
garbage room: mr|mr. treeger:|cause youre a little princess daddy, buy me a pizza. daddy, buy me a candy factory. daddy, make the cast of cats sing happy birthday to me
garbage room: mr|rachel|i didnt i never said that.
garbage room: mr|mr. treeger:|you think you could make a mess and the big man in coveralls will come in here and clean it up, huh well, why dont think of someone else for a change
garbage room: mr|rachel|starting to cry okay, im sorry. runs out still carrying the pizza box. [cut to monica and rachels apartment as rachel returns in tears.]
monica and rachels|monica|god if youre gonna cry about it she grabs the box and goes to through it out.] opening credits her experience in the garbage room.]
monica and rachels|joey|whoawhoa, treeger made you cry
monica and rachels|rachel|yes and he said really mean things that were only partly true. 
monica and rachels|joey|im gonna go down there and teach that guy a lesson.
monica and rachels|monica|joey, please dont do that. i think its best that we just forget about it.
monica and rachels|rachel|thats easy for you to say, you werent almost just killed.
monica and rachels|joey|all right thats it, school is in session exits and slams the door.
