chandlers office in tulsa|jo lynn|this kitty is mittens and this one is fitzhugh, and this little guy    in the cat condo is jinkies.
chandlers office in tulsa|chandler|yep. thats a lot of cats jo lynn. single are ya phone rings. chandler answers using the speaker phone.
chandlers office in tulsa|chandler|chandler bing.
chandlers office in tulsa|joey|hey. how come youre answering your own phone wheres your crazy assistant she frowns. chandler picks up the hand set.
chandlers office in tulsa|chandler|whats up joe
chandlers office in tulsa|joey|okay, what have we always wanted to do together
chandlers office in tulsa|chandler|braid each others hair and ride horseback on the beach
chandlers office in tulsa|joey|no, no, no. when you get home tomorrow night, you and i are going to    be at the wizzardsknicks game . . . courtside
chandlers office in tulsa|chandler|courtside oh my god.
chandlers office in tulsa|joey|yeah. maybe michael jordon will dive for the ball and break my jaw with    his knee.
chandlers office in tulsa|chandler|thats so cool. ill let monica know. chandler hangs up and calls monica who is reading a book on their sofa as    the phone rings.
chandlers office in tulsa|monica|hello
chandlers office in tulsa|chandler|joey just called. hes got courtside knicks tickets for him and    me tomorrow night.
chandlers office in tulsa|monica|really but tomorrow night is the only night i get off from the restaurant.    if you go to the game, we wont have a night together for another week.
chandlers office in tulsa|chandler|but hey, its courtside. the cheerleaders are going to be right    in fr. . . pause thats not the way to convince you. 
chandlers office in tulsa|monica|chandler look, i dont want to be one of those wives who says, you    cant go to the game. you have to spend time with me. so, if you could just    realize it on your own . . . 
chandlers office in tulsa|chandler|i know. youre right. i want to see you too. ive just got to    figure out a way to tell joey, you know hes really looking forward to this.
chandlers office in tulsa|monica|tell him that you havent seen your wife in a long time. tell him    that having a longdistance relationship is really difficult. tell him that    what little time we have is precious.
ross and rachels apartment|chandler|yeah, ah, ah . . . ill think of something. [ opening credits ]   rachel enters wearing a sexy dress.]
ross and rachels apartment|ross|wow pause wow, you look . . . uh . . . its just, ah . . . that    dress . . . uh . . . 
ross and rachels apartment|rachel|well, i hope the ends of these sentences are good.
ross and rachels apartment|ross|well, well, theyre good. its been a while since ive seen you like    this. you, you clean up good.
ross and rachels apartment|rachel|oh well, well thank you. she laughs. he stares for a moment. okay,    stop. stop looking at me like that. the last time that happened, points    to ross that happened. points to emma.
ross and rachels apartment|ross|oh right, right. they pause and exchange a glance. then, ross looks    away. so, are you . . . ah . . . you excited about your, your first night    away from emma
ross and rachels apartment|rachel|yeah, yeah. phoebe and i are going to have so much fun. and thank    you for watching the baby, by the way.
ross and rachels apartment|ross|oh, its fine. actually, i, i invited mike over.
ross and rachels apartment|rachel|phoebes mike
ross and rachels apartment|ross|yeah.
ross and rachels apartment|rachel|i didnt know you guys hung out.
